iter	Passed	Remaining
701	11117	4719
702	11135	4704
703	11152	4689
704	11170	4674
705	11186	4658
706	11203	4643
707	11219	4627
708	11234	4611
709	11251	4595
710	11267	4579
711	11286	4565
712	11301	4549
713	11316	4532
714	11330	4516
715	11345	4500
716	11361	4484
717	11376	4468
718	11391	4452
719	11406	4436
720	11421	4419
721	11436	4403
722	11451	4387
723	11465	4370
724	11480	4354
725	11494	4338
726	11510	4322
727	11524	4305
728	11538	4289
729	11552	4272
730	11567	4256
731	11581	4240
732	11595	4223
733	11610	4207
734	11624	4191
735	11638	4174
736	11653	4158
737	11668	4142
738	11682	4126
739	11696	4109
740	11710	4093
741	11726	4077
742	11740	4060
743	11756	4045
744	11770	4028
745	11785	4012
746	11800	3996
747	11814	3980
748	11828	3963
749	11843	3947
750	11859	3931
751	11875	3916
752	11888	3899
753	11903	3883
754	11918	3867
755	11934	3851
756	11948	3835
757	11962	3819
758	11976	3802
759	11991	3786
760	12006	3770
761	12020	3754
762	12034	3738
763	12049	3722
764	12064	3705
765	12079	3690
766	12095	3674
767	12110	3658
768	12126	3642
769	12141	3626
770	12156	3610
771	12170	3594
772	12185	3578
773	12200	3562
774	12213	3545
775	12228	3530
776	12243	3513
777	12257	3497
778	12272	3481
779	12286	3465
780	12300	3449
781	12316	3433
782	12332	3417
783	12348	3402
784	12364	3386
785	12381	3370
786	12397	3355
787	12412	3339
788	12427	3323
789	12441	3307
790	12456	3291
791	12471	3275
792	12486	3259
793	12500	3243
794	12514	3227
795	12528	3210
796	12543	3194
797	12557	3178
798	12571	3162
799	12586	3146
800	12601	3130
801	12616	3114
802	12631	3098
803	12645	3082
804	12661	3067
805	12675	3050
806	12689	3034
807	12704	3018
808	12760	3012
809	12785	2999
810	12803	2983
811	12820	2968
812	12836	2952
813	12851	2936
814	12867	2920
815	12881	2904
816	12895	2888
817	12913	2873
818	12929	2857
819	12945	2841
820	12960	2825
821	12975	2809
822	12989	2793
823	13005	2777
824	13020	2761
825	13035	2745
826	13050	2730
827	13066	2714
828	13081	2698
829	13096	2682
830	13110	2666
831	13125	2650
832	13140	2634
833	13154	2618
834	13169	2602
835	13184	2586
836	13198	2570
837	13213	2554
838	13228	2538
839	13243	2522
840	13258	2506
841	13272	2490
842	13286	2474
843	13301	2458
844	13317	2442
845	13332	2426
846	13347	2410
847	13362	2395
848	13378	2379
849	13393	2363
850	13407	2347
851	13423	2331
852	13439	2316
853	13456	2300
854	13473	2284
855	13489	2269
856	13506	2253
857	13522	2237
858	13537	2222
859	13551	2206
860	13565	2190
861	13579	2174
862	13593	2158
863	13608	2142
864	13622	2126
865	13637	2110
866	13652	2094
867	13666	2078
868	13680	2062
869	13694	2046
870	13710	2030
871	13724	2014
872	13739	1998
873	13756	1983
874	13772	1967
875	13788	1951
876	13805	1936
877	13822	1920
878	13837	1904
879	13852	1889
880	13867	1873
881	13881	1857
882	13896	1841
883	13911	1825
884	13925	1809
885	13940	1793
886	13954	1777
887	13970	1762
888	13985	1746
889	13999	1730
890	14014	1714
891	14029	1698
892	14044	1682
893	14059	1666
894	14073	1651
895	14087	1635
896	14102	1619
897	14117	1603
898	14133	1587
899	14148	1572
900	14163	1556
901	14178	1540
902	14193	1524
903	14208	1508
904	14223	1493
905	14239	1477
906	14257	1461
907	14272	1446
908	14289	1430
909	14305	1414
910	14320	1399
911	14335	1383
912	14349	1367
913	14364	1351
914	14378	1335
915	14392	1319
916	14407	1304
917	14421	1288
918	14437	1272
919	14452	1256
920	14466	1240
921	14481	1225
922	14498	1209
923	14514	1193
924	14529	1178
925	14545	1162
926	14562	1146
927	14577	1131
928	14593	1115
929	14610	1099
930	14625	1083
931	14641	1068
932	14656	1052
933	14671	1036
934	14686	1020
935	14700	1005
936	14714	989
937	14728	973
938	14743	957
939	14759	942
940	14773	926
941	14787	910
942	14802	894
943	14817	878
944	14832	863
945	14847	847
946	14861	831
947	14875	815
948	14891	800
949	14906	784
950	14920	768
951	14935	753
952	14950	737
953	14965	721
954	14979	705
955	14993	690
956	15010	674
957	15026	658
958	15041	643
959	15054	627
960	15069	611
961	15083	595
962	15099	580
963	15113	564
964	15128	548
965	15143	532
966	15158	517
967	15172	501
968	15186	485
969	15200	470
970	15215	454
971	15230	438
972	15244	423
973	15258	407
974	15272	391
975	15287	375
976	15302	360
977	15316	344
978	15331	328
979	15345	313
980	15360	297
981	15375	281
982	15389	266
983	15405	250
984	15418	234
985	15433	219
986	15448	203
987	15463	187
988	15477	172
989	15494	156
990	15509	140
991	15523	125
992	15539	109
993	15554	93
994	15569	78
995	15584	62
996	15600	46
997	15616	31
998	15632	15
999	15648	0
